"CPC V10","CPCpartial","ISIC Rev3","ISICpartial","Comment"
"26350",0,"1711",1,
"26360",0,"1711",1,
"26370",0,"1711",1,
"26380",0,"1711",1,
"26410",0,"1711",1,
"26420",0,"1711",1,
"26430",0,"1711",1,
"26440",0,"1711",1,
"26450",0,"1711",1,
"26460",0,"1711",1,
"26510",0,"1711",1,
"26520",0,"1711",1,
"26530",0,"1711",1,
"26540",0,"1711",1,
"26550",0,"1711",1,
"26560",0,"1711",1,
"26570",0,"1711",1,
"26590",0,"1711",1,
"26610",0,"1711",1,
"26620",0,"1711",1,
"26630",0,"1711",1,
"26690",0,"1711",1,
"26710",0,"1711",1,
"26720",0,"1711",1,
"26730",0,"1711",1,
"26740",0,"1711",1,
"26750",0,"1711",1,
"26760",0,"1711",1,
"26770",0,"1711",1,
"26790",0,"1711",1,
"26810",0,"1711",1,
"26820",0,"1711",1,
"26830",0,"1711",1,
"26840",0,"1711",1,
"26850",0,"1711",1,
"26860",0,"1711",1,
"26870",0,"1711",1,
"26880",0,"1711",1,
"26890",0,"1711",1,
"27110",0,"1721",1,
"27120",0,"1721",1,
"27130",0,"1721",1,
"27140",0,"1721",1,
"27150",0,"1721",1,
"27160",0,"1721",1,
"27170",0,"1721",1,
"27180",0,"1721",1,
"27190",0,"1721",1,
"27210",0,"1722",1,
"27220",0,"1722",1,
"27230",0,"1722",1,
"27290",0,"1722",1,
"27310",0,"1723",1,
"27320",0,"1723",1,
"27911",0,"1729",1,
"27912",0,"1729",1,
"27913",0,"1729",1,
"27921",0,"1729",1,
"27922",0,"1729",1,
"27991",0,"1729",1,
"27992",0,"1729",1,
"27993",0,"1729",1,
"27994",0,"1729",1,
"27995",0,"1729",1,
"27996",0,"1729",1,
"27997",0,"1729",1,
"27998",0,"1729",1,
"27999",0,"1729",1,
"28110",0,"1730",1,
"28190",0,"1730",1,
"28210",0,"1730",1,
"28221",0,"1810",1,
"28222",0,"1810",1,
"28223",0,"1810",1,
"28224",0,"1810",1,
"28225",0,"1730",1,
"28226",0,"1730",1,
"28227",0,"1810",1,
"28228",0,"1810",1,
"28229",0,"1810",1,
"28231",0,"1810",1,
"28232",0,"1810",1,
"28233",0,"1810",1,
"28234",0,"1810",1,
"28235",0,"1810",1,
"28236",0,"1810",1,
"28237",0,"1810",1,
"28238",0,"1810",1,
"28241",0,"1810",1,
"28242",0,"1810",1,
"28243",0,"2520",1,
"28250",0,"1810",1,
"28261",0,"1810",1,
"28262",0,"1810",1,
"28269",0,"1810",1,
"28310",0,"1820",1,
"28320",0,"1820",1,
"28330",0,"1820",1,
"29110",0,"1911",1,
"29120",0,"1911",1,
"29130",0,"1911",1,
"29210",0,"1912",1,
"29220",0,"1912",1,
"29230",0,"1912",1,
"29290",0,"1912",1,
"29310",0,"1920",1,
"29320",0,"1920",1,
"29330",0,"1920",1,
"29340",0,"1920",1,
"29410",0,"1920",1,
"29420",0,"1920",1,
"29490",0,"1920",1,
"29510",0,"1920",1,
"29520",0,"1920",1,
"29600",0,"1920",1,
"31100",0,"2010",1,
"31210",0,"2010",1,
"31220",0,"2010",1,
"31230",0,"2010",1,
"31310",0,"2010",1,
"31320",0,"2010",1,
"31410",0,"2021",1,
"31420",0,"2021",1,
"31430",0,"2021",1,
"31440",0,"2021",1,
"31510",0,"2021",1,
"31520",0,"2021",1,
"31600",0,"2022",1,
"31700",0,"2023",1,
"31911",0,"2029",1,
